Country,Year,Points_type,From,To,Points
basel,2025,Points given by the jury,greece,albania,2
basel,2025,Points given by the jury,greece,israel,1
basel,2025,Points given by televoters,iceland,poland,12
basel,2025,Points given by televoters,iceland,sweden,10
basel,2025,Points given by televoters,iceland,norway,8
basel,2025,Points given by televoters,iceland,estonia,7
basel,2025,Points given by televoters,iceland,netherlands,6
basel,2025,Points given by televoters,iceland,finland,5
basel,2025,Points given by televoters,iceland,israel,4
basel,2025,Points given by televoters,iceland,austria,3
basel,2025,Points given by televoters,iceland,denmark,2
basel,2025,Points given by televoters,iceland,germany,1
basel,2025,Points given by the jury,iceland,sweden,12
basel,2025,Points given by the jury,iceland,netherlands,10
basel,2025,Points given by the jury,iceland,austria,8
basel,2025,Points given by the jury,iceland,switzerland,7
basel,2025,Points given by the jury,iceland,norway,6
basel,2025,Points given by the jury,iceland,united kingdom,5
basel,2025,Points given by the jury,iceland,france,4
basel,2025,Points given by the jury,iceland,estonia,3
basel,2025,Points given by the jury,iceland,italy,2
basel,2025,Points given by the jury,iceland,finland,1
basel,2025,Points given by televoters,ireland,poland,12
basel,2025,Points given by televoters,ireland,israel,10
basel,2025,Points given by televoters,ireland,lithuania,8
basel,2025,Points given by televoters,ireland,ukraine,7
basel,2025,Points given by televoters,ireland,estonia,6
basel,2025,Points given by televoters,ireland,finland,5
basel,2025,Points given by televoters,ireland,austria,4
basel,2025,Points given by televoters,ireland,latvia,3
basel,2025,Points given by televoters,ireland,sweden,2
basel,2025,Points given by televoters,ireland,spain,1
basel,2025,Points given by the jury,ireland,austria,12
basel,2025,Points given by the jury,ireland,netherlands,10
basel,2025,Points given by the jury,ireland,france,8
basel,2025,Points given by the jury,ireland,israel,7
basel,2025,Points given by the jury,ireland,malta,6
basel,2025,Points given by the jury,ireland,sweden,5
basel,2025,Points given by the jury,ireland,finland,4
basel,2025,Points given by the jury,ireland,greece,3
basel,2025,Points given by the jury,ireland,united kingdom,2
basel,2025,Points given by the jury,ireland,armenia,1
basel,2025,Points given by televoters,israel,ukraine,12
basel,2025,Points given by televoters,israel,estonia,10
basel,2025,Points given by televoters,israel,austria,8
basel,2025,Points given by televoters,israel,greece,7
basel,2025,Points given by televoters,israel,armenia,6
basel,2025,Points given by televoters,israel,germany,5
basel,2025,Points given by televoters,israel,france,4
basel,2025,Points given by televoters,israel,luxembourg,3
basel,2025,Points given by televoters,israel,sweden,2
basel,2025,Points given by televoters,israel,finland,1
basel,2025,Points given by the jury,israel,greece,12
basel,2025,Points given by the jury,israel,germany,10
basel,2025,Points given by the jury,israel,malta,8
